Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1B/3B,Trey Diaz (1039),Trey Diaz,1039,1B/3B,3421,TB@TOR 07:05PM ET,TB,5.7
2B,Eric Nunez (1040),Eric Nunez,1040,2B,3379,TB@TOR 07:05PM ET,TB,5.5
2B,Jordan Cole (1041),Jordan Cole,1041,2B,6012,TB@TOR 07:05PM ET,TB,11.4
3B,Chris Price (1042),Chris Price,1042,3B,4652,TB@TOR 07:05PM ET,TB,7.9
3B,Eric Stone (1043),Eric Stone,1043,3B,3616,TB@TOR 07:05PM ET,TB,6.6
SS,Marcus Price (1044),Marcus Price,1044,SS,3863,TB@TOR 07:05PM ET,TB,7.8
SS,Marcus Cruz (1045),Marcus Cruz,1045,SS,3097,TB@TOR 07:05PM ET,TB,5.6
OF,Miguel Reed (1046),Miguel Reed,1046,OF,6448,TB@TOR 07:05PM ET,TB,12.4
OF,Mike Grant (1047),Mike Grant,1047,OF,3499,TB@TOR 07:05PM ET,TB,6.8
OF,Brian Ross (1048),Brian Ross,1048,OF,3516,TB@TOR 07:05PM ET,TB,4.8
OF,Alex Ortiz (1049),Alex Ortiz,1049,OF,2977,TB@TOR 07:05PM ET,TB,5.7
OF,Sam Ross (1050),Sam Ross,1050,OF,3957,TB@TOR 07:05PM ET,TB,6.8
P,Mike Reyes (1051),Mike Reyes,1051,P,8372,TB@TOR 07:05PM ET,TOR,19.1
P,Brian Cruz (1052),Brian Cruz,1052,P,8715,TB@TOR 07:05PM ET,TOR,18.6
C,Jose Ortiz (1053),Jose Ortiz,1053,C,4608,TB@TOR 07:05PM ET,TOR,7.6
C,Nick Torres (1054),Nick Torres,1054,C,4242,TB@TOR 07:05PM ET,TOR,8.1
1B,Tyler Torres (1055),Tyler Torres,1055,1B,3710,TB@TOR 07:05PM ET,TOR,4.7
1B/OF,Ryan Hall (1056),Ryan Hall,1056,1B/OF,3897,TB@TOR 07:05PM ET,TOR,6.9
2B,Marcus Bell (1057),Marcus Bell,1057,2B,4077,TB@TOR 07:05PM ET,TOR,7.2
2B,Alex Torres (1058),Alex Torres,1058,2B,6091,TB@TOR 07:05PM ET,TOR,7.4
3B,Miguel Silva (1059),Miguel Silva,1059,3B,4744,TB@TOR 07:05PM ET,TOR,6.7
3B,Marcus Cole (1060),Marcus Cole,1060,3B,4410,TB@TOR 07:05PM ET,TOR,9.1
SS,Jordan Brooks (1061),Jordan Brooks,1061,SS,5404,TB@TOR 07:05PM ET,TOR,7.2
SS/3B,Jake Cruz (1062),Jake Cruz,1062,SS/3B,4564,TB@TOR 07:05PM ET,TOR,6.1
OF,Tony Ward (1063),Tony Ward,1063,OF,2785,TB@TOR 07:05PM ET,TOR,4.6
OF,Jordan Bell (1064),Jordan Bell,1064,OF,4840,TB@TOR 07:05PM ET,TOR,7.4
OF,Jake Silva (1065),Jake Silva,1065,OF,2943,TB@TOR 07:05PM ET,TOR,4.9
OF,Dave Grant (1066),Dave Grant,1066,OF,3682,TB@TOR 07:05PM ET,TOR,7.4
OF,Adam Ross (1067),Adam Ross,1067,OF,5179,TB@TOR 07:05PM ET,TOR,7.4
P,Andre Stone (1068),Andre Stone,1068,P,9690,BAL@HOU 07:05PM ET,BAL,20.7
P,Jose Ross (1069),Jose Ross,1069,P,6858,BAL@HOU 07:05PM ET,BAL,14.9
C,Trey Ross (1070),Trey Ross,1070,C,3070,BAL@HOU 07:05PM ET,BAL,5.9
C,Jose Cruz (1071),Jose Cruz,1071,C,4892,BAL@HOU 07:05PM ET,BAL,9.0
1B,Tyler Marsh (1072),Tyler Marsh,1072,1B,2971,BAL@HOU 07:05PM ET,BAL,3.9
1B,Andre Ross (1073),Andre Ross,1073,1B,3801,BAL@HOU 07:05PM ET,BAL,6.2
2B,Chris Ward (1074),Chris Ward,1074,2B,5854,BAL@HOU 07:05PM ET,BAL,10.9
2B,Kevin Reyes (1075),Kevin Reyes,1075,2B,5462,BAL@HOU 07:05PM ET,BAL,11.4
3B/OF,Dave Ortiz (1076),Dave Ortiz,1076,3B/OF,5327,BAL@HOU 07:05PM ET,BAL,9.4
3B,Cole Ward (1077),Cole Ward,1077,3B,5125,BAL@HOU 07:05PM ET,BAL,6.8
SS,Tyler Price (1078),Tyler Price,1078,SS,4805,BAL@HOU 07:05PM ET,BAL,7.0
SS/3B,Alex Bell (1079),Alex Bell,1079,SS/3B,3616,BAL@HOU 07:05PM ET,BAL,5.4
OF,Kevin Vance (1080),Kevin Vance,1080,OF,4440,BAL@HOU 07:05PM ET,BAL,9.7
OF,Jake Ward (1081),Jake Ward,1081,OF,2969,BAL@HOU 07:05PM ET,BAL,4.0
OF,Mike Knight (1082),Mike Knight,1082,OF,4683,BAL@HOU 07:05PM ET,BAL,6.9
OF,Alex Stone (1083),Alex Stone,1083,OF,4214,BAL@HOU 07:05PM ET,BAL,5.2
OF,Luis Hall (1084),Luis Hall,1084,OF,4304,BAL@HOU 07:05PM ET,BAL,6.6
P,Marcus Knight (1085),Marcus Knight,1085,P,9762,BAL@HOU 07:05PM ET,HOU,16.4
P,Adam Reyes (1086),Adam Reyes,1086,P,7032,BAL@HOU 07:05PM ET,HOU,13.2
C,Jordan Cruz (1087),Jordan Cruz,1087,C,2697,BAL@HOU 07:05PM ET,HOU,3.8
C,Luis Vance (1088),Luis Vance,1088,C,3588,BAL@HOU 07:05PM ET,HOU,5.6
1B,Eric Marsh (1089),Eric Marsh,1089,1B,2918,BAL@HOU 07:05PM ET,HOU,5.6
1B,Derek Bell (1090),Derek Bell,1090,1B,4482,BAL@HOU 07:05PM ET,HOU,7.2
2B,Sam Ward (1091),Sam Ward,1091,2B,3499,BAL@HOU 07:05PM ET,HOU,5.7
2B,Miguel Grant (1092),Miguel Grant,1092,2B,5486,BAL@HOU 07:05PM ET,HOU,7.8
3B,Ryan Price (1093),Ryan Price,1093,3B,4850,BAL@HOU 07:05PM ET,HOU,9.8
3B,Tony Ortiz (1094),Tony Ortiz,1094,3B,3371,BAL@HOU 07:05PM ET,HOU,5.7
SS,Andre Foster (1095),Andre Foster,1095,SS,6115,BAL@HOU 07:05PM ET,HOU,10.5
SS/3B,Adam Reed (1096),Adam Reed,1096,SS/3B,3906,BAL@HOU 07:05PM ET,HOU,5.9
OF,Ryan Grant (1097),Ryan Grant,1097,OF,6134,BAL@HOU 07:05PM ET,HOU,12.6
OF,Alex Brooks (1098),Alex Brooks,1098,OF,6076,BAL@HOU 07:05PM ET,HOU,12.2
OF,Cole Torres (1099),Cole Torres,1099,OF,4538,BAL@HOU 07:05PM ET,HOU,9.8
OF,Tyler Cole (1100),Tyler Cole,1100,OF,4762,BAL@HOU 07:05PM ET,HOU,9.8
OF,Andre Knight (1101),Andre Knight,1101,OF,5393,BAL@HOU 07:05PM ET,HOU,7.1
P,Dave Cole (1102),Dave Cole,1102,P,6823,LAD@SD 07:05PM ET,LAD,10.9
P,Brian Knight (1103),Brian Knight,1103,P,7548,LAD@SD 07:05PM ET,LAD,15.4
C,Nick Cole (1104),Nick Cole,1104,C,4887,LAD@SD 07:05PM ET,LAD,6.6
C,Luis Silva (1105),Luis Silva,1105,C,4386,LAD@SD 07:05PM ET,LAD,6.2
1B,Jose Silva (1106),Jose Silva,1106,1B,5040,LAD@SD 07:05PM ET,LAD,7.2
1B,Miguel Foster (1107),Miguel Foster,1107,1B,5562,LAD@SD 07:05PM ET,LAD,9.9
2B,Chris Vance (1108),Chris Vance,1108,2B,4184,LAD@SD 07:05PM ET,LAD,7.7
2B,Trey Bell (1109),Trey Bell,1109,2B,3594,LAD@SD 07:05PM ET,LAD,5.1
3B,Jordan Pratt (1110),Jordan Pratt,1110,3B,3714,LAD@SD 07:05PM ET,LAD,6.1
3B/1B,Tony Grant (1111),Tony Grant,1111,3B/1B,5241,LAD@SD 07:05PM ET,LAD,7.0
SS,Tony Silva (1112),Tony Silva,1112,SS,3263,LAD@SD 07:05PM ET,LAD,6.8
SS,Luis Price (1113),Luis Price,1113,SS,5521,LAD@SD 07:05PM ET,LAD,10.2
OF,Mike Marsh (1114),Mike Marsh,1114,OF,4039,LAD@SD 07:05PM ET,LAD,6.5
OF,Brian Reyes (1115),Brian Reyes,1115,OF,5965,LAD@SD 07:05PM ET,LAD,9.0
OF,Luis Reed (1116),Luis Reed,1116,OF,6366,LAD@SD 07:05PM ET,LAD,10.5
OF,Trey Grant (1117),Trey Grant,1117,OF,3615,LAD@SD 07:05PM ET,LAD,7.3
OF,Marcus Barnes (1118),Marcus Barnes,1118,OF,6368,LAD@SD 07:05PM ET,LAD,8.0
P,Will Nunez (1119),Will Nunez,1119,P,9244,LAD@SD 07:05PM ET,SD,21.0
P,Andre Cain (1120),Andre Cain,1120,P,8757,LAD@SD 07:05PM ET,SD,15.8
C,Tyler Cain (1121),Tyler Cain,1121,C,2767,LAD@SD 07:05PM ET,SD,3.4
C,Cole Diaz (1122),Cole Diaz,1122,C,4521,LAD@SD 07:05PM ET,SD,5.9
1B,Tyler Reed (1123),Tyler Reed,1123,1B,5634,LAD@SD 07:05PM ET,SD,10.7
1B,Chris Silva (1124),Chris Silva,1124,1B,4404,LAD@SD 07:05PM ET,SD,8.3
2B,Nick Pratt (1125),Nick Pratt,1125,2B,4547,LAD@SD 07:05PM ET,SD,9.1
2B/1B,Brian Price (1126),Brian Price,1126,2B/1B,5707,LAD@SD 07:05PM ET,SD,11.8
3B,Adam Ward (1127),Adam Ward,1127,3B,5969,LAD@SD 07:05PM ET,SD,10.7
3B,Sam Lane (1128),Sam Lane,1128,3B,3813,LAD@SD 07:05PM ET,SD,5.2
SS,Mike Silva (1129),Mike Silva,1129,SS,3807,LAD@SD 07:05PM ET,SD,6.3
SS,Carlos Nunez (1130),Carlos Nunez,1130,SS,6155,LAD@SD 07:05PM ET,SD,8.7
OF,Adam Vance (1131),Adam Vance,1131,OF,5059,LAD@SD 07:05PM ET,SD,11.0
OF,Trey Cain (1132),Trey Cain,1132,OF,4439,LAD@SD 07:05PM ET,SD,8.0
OF,Carlos Ortiz (1133),Carlos Ortiz,1133,OF,5506,LAD@SD 07:05PM ET,SD,10.0
OF,Luis Foster (1134),Luis Foster,1134,OF,5055,LAD@SD 07:05PM ET,SD,9.8
OF,Cole Marsh (1135),Cole Marsh,1135,OF,3433,LAD@SD 07:05PM ET,SD,4.2
P,Jose Ward (1136),Jose Ward,1136,P,7766,ATL@PHI 07:05PM ET,ATL,15.9
P,Brian Foster (1137),Brian Foster,1137,P,6920,ATL@PHI 07:05PM ET,ATL,12.6
C,Brian Diaz (1138),Brian Diaz,1138,C,5139,ATL@PHI 07:05PM ET,ATL,7.0
C,Tony Brooks (1139),Tony Brooks,1139,C,3993,ATL@PHI 07:05PM ET,ATL,6.3
1B,Carlos Barnes (1140),Carlos Barnes,1140,1B,4424,ATL@PHI 07:05PM ET,ATL,5.7
1B/3B,Cole Cain (1141),Cole Cain,1141,1B/3B,4934,ATL@PHI 07:05PM ET,ATL,6.7
2B/3B,Luis Nunez (1142),Luis Nunez,1142,2B/3B,3318,ATL@PHI 07:05PM ET,ATL,6.5
2B,Ryan Pratt (1143),Ryan Pratt,1143,2B,5717,ATL@PHI 07:05PM ET,ATL,10.1
3B/OF,Carlos Hall (1144),Carlos Hall,1144,3B/OF,3549,ATL@PHI 07:05PM ET,ATL,6.1
3B,Kevin Pratt (1145),Kevin Pratt,1145,3B,3588,ATL@PHI 07:05PM ET,ATL,4.4
SS,Brian Grant (1146),Brian Grant,1146,SS,5458,ATL@PHI 07:05PM ET,ATL,8.6
SS,Will Cain (1147),Will Cain,1147,SS,2895,ATL@PHI 07:05PM ET,ATL,3.5
OF,Dave Reed (1148),Dave Reed,1148,OF,4239,ATL@PHI 07:05PM ET,ATL,5.5
OF,Jordan Silva (1149),Jordan Silva,1149,OF,4689,ATL@PHI 07:05PM ET,ATL,8.7
OF,Jordan Cain (1150),Jordan Cain,1150,OF,5550,ATL@PHI 07:05PM ET,ATL,9.5
OF,Chris Pratt (1151),Chris Pratt,1151,OF,3157,ATL@PHI 07:05PM ET,ATL,3.9
OF,Tony Cruz (1152),Tony Cruz,1152,OF,6227,ATL@PHI 07:05PM ET,ATL,10.5
P,Nick Diaz (1153),Nick Diaz,1153,P,9374,ATL@PHI 07:05PM ET,PHI,19.0
P,Marcus Lane (1154),Marcus Lane,1154,P,10238,ATL@PHI 07:05PM ET,PHI,17.4
C,Kevin Diaz (1155),Kevin Diaz,1155,C,2650,ATL@PHI 07:05PM ET,PHI,3.6
C,Nick Hall (1156),Nick Hall,1156,C,4043,ATL@PHI 07:05PM ET,PHI,5.4
1B,Mike Ward (1157),Mike Ward,1157,1B,4655,ATL@PHI 07:05PM ET,PHI,7.9
1B,Carlos Lane (1158),Carlos Lane,1158,1B,6067,ATL@PHI 07:05PM ET,PHI,9.3
2B,Sam Silva (1159),Sam Silva,1159,2B,3742,ATL@PHI 07:05PM ET,PHI,5.1
2B,Ryan Brooks (1160),Ryan Brooks,1160,2B,4080,ATL@PHI 07:05PM ET,PHI,7.6
3B/1B,Will Silva (1161),Will Silva,1161,3B/1B,4291,ATL@PHI 07:05PM ET,PHI,8.6
3B,Ryan Foster (1162),Ryan Foster,1162,3B,4044,ATL@PHI 07:05PM ET,PHI,5.2
SS/1B,Ryan Knight (1163),Ryan Knight,1163,SS/1B,5355,ATL@PHI 07:05PM ET,PHI,10.4
SS,Eric Reed (1164),Eric Reed,1164,SS,5525,ATL@PHI 07:05PM ET,PHI,10.5
OF,Ryan Diaz (1165),Ryan Diaz,1165,OF,4720,ATL@PHI 07:05PM ET,PHI,9.1
OF,Tony Nunez (1166),Tony Nunez,1166,OF,4262,ATL@PHI 07:05PM ET,PHI,5.9
OF,Marcus Ross (1167),Marcus Ross,1167,OF,5290,ATL@PHI 07:05PM ET,PHI,11.3
OF,Jake Bell (1168),Jake Bell,1168,OF,5931,ATL@PHI 07:05PM ET,PHI,10.8
OF,Jose Marsh (1169),Jose Marsh,1169,OF,5566,ATL@PHI 07:05PM ET,PHI,11.0
