Name,Proj,Ceiling,Floor,Ownership
Jake Ward,4.0,9.4,1.0,28.9
Mike Knight,6.9,12.6,2.4,30.8
Alex Stone,5.2,11.0,1.7,25.7
Luis Hall,6.6,14.9,1.3,26.5
Marcus Knight,16.4,21.4,8.6,10.4
Adam Reyes,13.2,20.0,5.7,11.1
Jordan Cruz,3.8,6.5,1.8,8.2
Luis Vance,5.6,11.4,2.4,13.4
Eric Marsh,5.6,9.3,1.3,28.1
Derek Bell,7.2,13.6,3.4,17.0
Sam Ward,5.7,11.9,2.8,8.5
Miguel Grant,7.8,12.4,3.1,3.2
Ryan Price,9.8,21.8,4.9,14.0
Tony Ortiz,5.7,11.1,1.7,11.7
Andre Foster,10.5,19.0,4.4,7.1
Adam Reed,5.9,9.4,2.1,19.3
Ryan Grant,12.6,23.4,4.2,33.4
Alex Brooks,12.2,18.7,5.0,31.5
Cole Torres,9.8,15.3,4.7,32.6
Tyler Cole,9.8,21.6,2.6,6.2
Andre Knight,7.1,14.8,3.0,16.5
Dave Cole,10.9,17.9,3.4,25.6
Brian Knight,15.4,27.1,5.1,11.9
Nick Cole,6.6,13.6,1.3,16.6
Luis Silva,6.2,12.9,1.7,16.3
Jose Silva,7.2,12.6,1.5,15.5
Miguel Foster,9.9,22.2,2.7,2.0
Chris Vance,7.7,14.6,2.0,23.2
Trey Bell,5.1,8.1,2.0,18.7
Jordan Pratt,6.1,9.9,1.9,7.2
Tony Grant,7.0,13.0,2.9,10.1
Tony Silva,6.8,15.3,2.9,1.9
Luis Price,10.2,16.7,2.0,9.1
Mike Marsh,6.5,15.4,1.7,13.1
Brian Reyes,9.0,13.9,3.1,13.7
Luis Reed,10.5,22.7,3.6,22.5
Trey Grant,7.3,11.2,1.5,3.1
Marcus Barnes,8.0,12.5,3.1,13.3
Will Nunez,21.0,30.6,10.8,12.4
Andre Cain,15.8,26.2,8.6,33.2
Tyler Cain,3.4,6.0,0.9,13.5
Cole Diaz,5.9,8.9,2.8,9.8
Tyler Reed,10.7,22.8,4.1,15.8
Chris Silva,8.3,12.7,3.0,10.4
Nick Pratt,9.1,14.3,2.1,15.5
Brian Price,11.8,23.6,4.7,22.7
Adam Ward,10.7,19.2,4.5,6.8
Sam Lane,5.2,8.6,1.1,8.3
Mike Silva,6.3,11.8,1.3,1.1
Carlos Nunez,8.7,19.2,2.3,2.5
Adam Vance,11.0,25.7,3.4,30.4
Trey Cain,8.0,16.8,1.6,22.7
Carlos Ortiz,10.0,16.3,2.6,9.7
Luis Foster,9.8,20.7,2.5,11.6
Cole Marsh,4.2,8.1,1.4,28.1
Jose Ward,15.9,24.6,6.1,12.2
Brian Foster,12.6,16.5,6.7,28.5
Brian Diaz,7.0,12.6,3.1,12.8
Tony Brooks,6.3,9.5,2.3,19.6
Carlos Barnes,5.7,10.9,1.4,9.2
Cole Cain,6.7,14.4,3.3,6.7
Luis Nunez,6.5,12.9,2.5,3.5
Ryan Pratt,10.1,18.4,4.6,25.0
Carlos Hall,6.1,9.9,3.0,24.7
Kevin Pratt,4.4,8.2,2.0,23.6
Brian Grant,8.6,17.4,2.9,13.7
Will Cain,3.5,7.5,1.6,24.5
Dave Reed,5.5,10.4,1.3,16.0
Jordan Silva,8.7,14.1,4.1,11.7
Jordan Cain,9.5,18.6,3.0,33.3
Chris Pratt,3.9,8.4,1.7,7.6
Tony Cruz,10.5,23.2,5.0,3.2
Nick Diaz,19.0,28.4,9.2,31.9
Marcus Lane,17.4,25.4,7.9,12.5
Kevin Diaz,3.6,7.0,1.0,10.5
Nick Hall,5.4,11.0,1.2,25.9
Mike Ward,7.9,18.1,3.1,12.4
Carlos Lane,9.3,15.0,2.8,3.4
Sam Silva,5.1,11.6,2.4,27.9
Ryan Brooks,7.6,13.2,2.9,13.1
Will Silva,8.6,13.2,1.9,17.4
Ryan Foster,5.2,10.2,2.0,6.9
Ryan Knight,10.4,16.8,2.4,19.5
Eric Reed,10.5,20.7,3.9,18.5
Ryan Diaz,9.1,21.0,1.9,19.1
Tony Nunez,5.9,13.7,1.4,21.8
Marcus Ross,11.3,23.1,4.0,22.8
Jake Bell,10.8,16.8,4.2,34.8
Jose Marsh,11.0,16.6,5.0,26.3
