Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
OF,Henry Bolte (40034),Henry Bolte,40034,OF,4100,MIN@OAK 07:05PM ET,OAK,6.6
3B,Alex Bregman (40035),Alex Bregman,40035,3B,5600,ARI@CHC 07:05PM ET,CHC,8.0
OF,Jo Adell (40036),Jo Adell,40036,OF,3900,CLE@LAA 07:05PM ET,CLE,7.0
OF,Sam Antonacci (40037),Sam Antonacci,40037,OF,4600,CWS@TEX 07:05PM ET,CWS,7.3
1B/C,Josh Bell (40038),Josh Bell,40038,1B/C,4500,MIN@OAK 07:05PM ET,MIN,7.2
1B/2B,Jeff McNeil (40039),Jeff McNeil,40039,1B/2B,3700,MIN@OAK 07:05PM ET,OAK,5.3
1B,Rafael Devers (40040),Rafael Devers,40040,1B,4100,CIN@SF 07:05PM ET,SF,7.6
3B/1B,Miguel Vargas (40041),Miguel Vargas,40041,3B/1B,5400,CWS@TEX 07:05PM ET,CWS,9.1
OF,Jackson Merrill (40042),Jackson Merrill,40042,OF,4500,PIT@SD 07:05PM ET,SD,8.0
3B,Ezequiel Duran (40043),Ezequiel Duran,40043,3B,4000,CWS@TEX 07:05PM ET,TEX,7.3
3B/2B,Zack Gelof (40044),Zack Gelof,40044,3B/2B,5300,MIN@OAK 07:05PM ET,OAK,7.8
2B/SS,Nico Hoerner (40045),Nico Hoerner,40045,2B/SS,4700,ARI@CHC 07:05PM ET,CHC,7.3
1B,Kyle Schwarber (40046),Kyle Schwarber,40046,1B,6300,PHI@SEA 07:05PM ET,PHI,9.2
SS,Geraldo Perdomo (40047),Geraldo Perdomo,40047,SS,4100,ARI@CHC 07:05PM ET,ARI,7.3
3B,Colson Montgomery (40048),Colson Montgomery,40048,3B,4300,CWS@TEX 07:05PM ET,CWS,7.3
OF,Braden Montgomery (40049),Braden Montgomery,40049,OF,3600,CWS@TEX 07:05PM ET,CWS,6.7
2B,Kody Clemens (40050),Kody Clemens,40050,2B,5400,MIN@OAK 07:05PM ET,MIN,7.7
OF,Bryan Reynolds (40051),Bryan Reynolds,40051,OF,4600,PIT@SD 07:05PM ET,PIT,8.2
OF,Bryce Harper (40052),Bryce Harper,40052,OF,5800,PHI@SEA 07:05PM ET,PHI,8.8
OF,Brandon Nimmo (40053),Brandon Nimmo,40053,OF,3900,CWS@TEX 07:05PM ET,TEX,6.9
OF,Mike Trout (40054),Mike Trout,40054,OF,5000,CLE@LAA 07:05PM ET,LAA,8.5
OF,Carlos Cortes (40055),Carlos Cortes,40055,OF,3400,MIN@OAK 07:05PM ET,OAK,5.0
OF,Oneil Cruz (40056),Oneil Cruz,40056,OF,6200,PIT@SD 07:05PM ET,PIT,10.7
OF,Lars Nootbaar (40057),Lars Nootbaar,40057,OF,3300,ARI@CHC 07:05PM ET,ARI,5.7
2B,Travis Bazzana (40058),Travis Bazzana,40058,2B,4600,CLE@LAA 07:05PM ET,CLE,7.4
3B,Manny Machado (40059),Manny Machado,40059,3B,4900,PIT@SD 07:05PM ET,SD,7.2
C,Gabriel Moreno (40060),Gabriel Moreno,40060,C,4400,ARI@CHC 07:05PM ET,ARI,8.2
1B,Jake Burger (40061),Jake Burger,40061,1B,4100,CWS@TEX 07:05PM ET,TEX,6.8
1B,Nathaniel Lowe (40062),Nathaniel Lowe,40062,1B,3400,CLE@LAA 07:05PM ET,CLE,6.3
SS,Kaelen Culpepper (40063),Kaelen Culpepper,40063,SS,3300,MIN@OAK 07:05PM ET,MIN,6.1
3B/SS,Brooks Lee (40064),Brooks Lee,40064,3B/SS,4200,MIN@OAK 07:05PM ET,MIN,7.3
2B,Nick Gonzales (40065),Nick Gonzales,40065,2B,3600,PIT@SD 07:05PM ET,PIT,7.1
SS,Trea Turner (40066),Trea Turner,40066,SS,4800,PHI@SEA 07:05PM ET,PHI,7.8
OF,Dane Myers (40067),Dane Myers,40067,OF,3200,CIN@SF 07:05PM ET,CIN,4.8
2B,Matt McLain (40068),Matt McLain,40068,2B,3500,CIN@SF 07:05PM ET,CIN,6.5
2B,Pedro Ramirez (40069),Pedro Ramirez,40069,2B,3800,ARI@CHC 07:05PM ET,CHC,6.1
OF,Evan Carter (40070),Evan Carter,40070,OF,3100,CWS@TEX 07:05PM ET,TEX,5.3
OF,Michael Conforto (40071),Michael Conforto,40071,OF,3300,ARI@CHC 07:05PM ET,CHC,4.7
1B,Joc Pederson (40072),Joc Pederson,40072,1B,3200,CWS@TEX 07:05PM ET,TEX,6.1
2B,Brandon Lowe (40073),Brandon Lowe,40073,2B,5100,PIT@SD 07:05PM ET,PIT,8.6
3B,Eugenio Suarez (40074),Eugenio Suarez,40074,3B,3700,CIN@SF 07:05PM ET,CIN,6.4
SS/3B,Willy Adames (40075),Willy Adames,40075,SS/3B,3400,CIN@SF 07:05PM ET,SF,7.0
OF,JJ Bleday (40076),JJ Bleday,40076,OF,4400,CIN@SF 07:05PM ET,CIN,7.6
OF,Andrew Benintendi (40077),Andrew Benintendi,40077,OF,3400,CWS@TEX 07:05PM ET,CWS,6.1
OF,Tristan Peters (40078),Tristan Peters,40078,OF,2800,CWS@TEX 07:05PM ET,CWS,5.8
2B,Donovan Walton (40079),Donovan Walton,40079,2B,2900,MIN@OAK 07:05PM ET,OAK,6.0
OF,Esmerlyn Valdez (40080),Esmerlyn Valdez,40080,OF,4100,PIT@SD 07:05PM ET,PIT,8.3
2B,Angel Genao (40081),Angel Genao,40081,2B,3100,CLE@LAA 07:05PM ET,CLE,6.3
3B,Max Muncy (40082),Max Muncy,40082,3B,3200,MIN@OAK 07:05PM ET,OAK,5.8
OF,Julio Rodriguez (40083),Julio Rodriguez,40083,OF,4200,PHI@SEA 07:05PM ET,SEA,7.6
C,Tyler Stephenson (40084),Tyler Stephenson,40084,C,3600,CIN@SF 07:05PM ET,CIN,5.9
C,Jonah Heim (40085),Jonah Heim,40085,C,4000,MIN@OAK 07:05PM ET,OAK,5.7
OF,Jake Mangum (40086),Jake Mangum,40086,OF,4100,PIT@SD 07:05PM ET,PIT,7.0
1B,Josh Naylor (40087),Josh Naylor,40087,1B,2800,PHI@SEA 07:05PM ET,SEA,7.3
C,Cal Raleigh (40088),Cal Raleigh,40088,C,3700,PHI@SEA 07:05PM ET,SEA,5.7
1B,Alec Bohm (40089),Alec Bohm,40089,1B,3800,PHI@SEA 07:05PM ET,PHI,6.7
OF,Jung Hoo Lee (40090),Jung Hoo Lee,40090,OF,3500,CIN@SF 07:05PM ET,SF,6.9
3B,Nolan Arenado (40091),Nolan Arenado,40091,3B,4400,ARI@CHC 07:05PM ET,ARI,7.2
OF,Max Kepler (40092),Max Kepler,40092,OF,3700,ARI@CHC 07:05PM ET,ARI,4.9
1B,Vaughn Grissom (40093),Vaughn Grissom,40093,1B,3500,CLE@LAA 07:05PM ET,LAA,6.3
1B,Victor Caratini (40094),Victor Caratini,40094,1B,3500,MIN@OAK 07:05PM ET,MIN,5.1
1B,Tommy White (40095),Tommy White,40095,1B,3300,MIN@OAK 07:05PM ET,OAK,5.0
OF,Gavin Sheets (40096),Gavin Sheets,40096,OF,3000,PIT@SD 07:05PM ET,SD,5.7
2B,Jake Cronenworth (40097),Jake Cronenworth,40097,2B,3200,PIT@SD 07:05PM ET,SD,5.7
OF,Randy Arozarena (40098),Randy Arozarena,40098,OF,4700,PHI@SEA 07:05PM ET,SEA,8.9
OF,Brandon Marsh (40099),Brandon Marsh,40099,OF,4300,PHI@SEA 07:05PM ET,PHI,7.3
C,Carson Kelly (40100),Carson Kelly,40100,C,3800,ARI@CHC 07:05PM ET,CHC,6.1
SS,Xander Bogaerts (40101),Xander Bogaerts,40101,SS,3600,PIT@SD 07:05PM ET,SD,6.3
3B,Bryson Stott (40102),Bryson Stott,40102,3B,3900,PHI@SEA 07:05PM ET,PHI,7.4
1B,Tim Tawa (40103),Tim Tawa,40103,1B,3000,ARI@CHC 07:05PM ET,ARI,6.2
1B/3B,Ty France (40104),Ty France,40104,1B/3B,4200,PIT@SD 07:05PM ET,SD,7.3
OF,Drew Gilbert (40105),Drew Gilbert,40105,OF,2700,CIN@SF 07:05PM ET,SF,4.8
C,Patrick Bailey (40106),Patrick Bailey,40106,C,2500,CLE@LAA 07:05PM ET,CLE,4.5
SS,Brayan Rocchio (40107),Brayan Rocchio,40107,SS,2600,CLE@LAA 07:05PM ET,CLE,6.4
2B,Luis Arraez (40108),Luis Arraez,40108,2B,4500,PHI@SEA 07:05PM ET,PHI,7.7
1B,Bryce Eldridge (40109),Bryce Eldridge,40109,1B,3100,CIN@SF 07:05PM ET,SF,7.0
OF,Jordan Lawlar (40110),Jordan Lawlar,40110,OF,2900,ARI@CHC 07:05PM ET,ARI,7.7
OF,Dominic Canzone (40111),Dominic Canzone,40111,OF,3200,PHI@SEA 07:05PM ET,SEA,6.4
2B,Ildemaro Vargas (40112),Ildemaro Vargas,40112,2B,4000,ARI@CHC 07:05PM ET,ARI,6.5
2B,Nicky Lopez (40113),Nicky Lopez,40113,2B,2300,CWS@TEX 07:05PM ET,TEX,4.2
OF,Jose Siri (40114),Jose Siri,40114,OF,3300,CLE@LAA 07:05PM ET,LAA,4.9
3B,Denzer Guzman (40115),Denzer Guzman,40115,3B,2800,CLE@LAA 07:05PM ET,LAA,5.7
C,Luis Campusano (40116),Luis Campusano,40116,C,3900,PIT@SD 07:05PM ET,SD,6.4
1B,Rafael Flores Jr. (40117),Rafael Flores Jr.,40117,1B,3100,PIT@SD 07:05PM ET,PIT,7.7
C,Danny Jansen (40118),Danny Jansen,40118,C,2500,CWS@TEX 07:05PM ET,TEX,4.4
OF,Gustavo Campero (40119),Gustavo Campero,40119,OF,2300,CLE@LAA 07:05PM ET,LAA,6.5
OF/2B,Luis Rengifo (40120),Luis Rengifo,40120,OF/2B,3500,PIT@SD 07:05PM ET,SD,5.7
1B,Nick Yorke (40121),Nick Yorke,40121,1B,2200,PIT@SD 07:05PM ET,PIT,4.4
OF,Taylor Ward (40122),Taylor Ward,40122,OF,3500,PHI@SEA 07:05PM ET,SEA,6.7
C,Jose Trevino (40123),Jose Trevino,40123,C,2400,CIN@SF 07:05PM ET,CIN,4.2
2B,Chase Meidroth (40124),Chase Meidroth,40124,2B,3400,CWS@TEX 07:05PM ET,CWS,6.9
3B,Jared Triolo (40125),Jared Triolo,40125,3B,2700,PIT@SD 07:05PM ET,PIT,4.9
OF,Justin Crawford (40126),Justin Crawford,40126,OF,3100,PHI@SEA 07:05PM ET,PHI,5.3
2B,Cole Young (40127),Cole Young,40127,2B,2600,PHI@SEA 07:05PM ET,SEA,6.4
2B,Christian Moore (40128),Christian Moore,40128,2B,2000,CLE@LAA 07:05PM ET,LAA,2.6
C,J.T. Realmuto (40129),J.T. Realmuto,40129,C,3300,PHI@SEA 07:05PM ET,PHI,5.9
OF,Turner Hill (40130),Turner Hill,40130,OF,2500,CIN@SF 07:05PM ET,SF,3.8
C,Moises Ballesteros (40131),Moises Ballesteros,40131,C,3000,CLE@LAA 07:05PM ET,LAA,4.5
OF,Hector Rodriguez (40132),Hector Rodriguez,40132,OF,2700,CIN@SF 07:05PM ET,CIN,4.0
C,Drew Romo (40133),Drew Romo,40133,C,2100,CWS@TEX 07:05PM ET,CWS,4.5
C,Travis d'Arnaud (40134),Travis d'Arnaud,40134,C,2100,CLE@LAA 07:05PM ET,LAA,3.1
2B,Osleivis Basabe (40135),Osleivis Basabe,40135,2B,3000,CIN@SF 07:05PM ET,SF,5.2
3B,Christian Koss (40136),Christian Koss,40136,3B,2000,CIN@SF 07:05PM ET,SF,3.1
OF,Victor Bericoto (40137),Victor Bericoto,40137,OF,2500,CIN@SF 07:05PM ET,SF,4.7
C,Drew Cavanaugh (40138),Drew Cavanaugh,40138,C,2300,CIN@SF 07:05PM ET,SF,3.3
3B,Weston Wilson (40139),Weston Wilson,40139,3B,2500,PHI@SEA 07:05PM ET,SEA,4.3
SS,Brock Rodden (40140),Brock Rodden,40140,SS,2400,PHI@SEA 07:05PM ET,SEA,6.7
OF,Ryan Waldschmidt (40141),Ryan Waldschmidt,40141,OF,3100,ARI@CHC 07:05PM ET,ARI,6.1
C,Kyle Higashioka (40142),Kyle Higashioka,40142,C,2600,CWS@TEX 07:05PM ET,TEX,5.2
C,Elias Diaz (40143),Elias Diaz,40143,C,2600,CWS@TEX 07:05PM ET,TEX,4.6
3B,Josh Jung (40144),Josh Jung,40144,3B,4000,CWS@TEX 07:05PM ET,TEX,7.3
C,Logan O'Hoppe (40145),Logan O'Hoppe,40145,C,2000,CWS@TEX 07:05PM ET,TEX,4.5
2B,Cody Freeman (40146),Cody Freeman,40146,2B,2100,CWS@TEX 07:05PM ET,TEX,3.4
2B,Justin Foscue (40147),Justin Foscue,40147,2B,3500,CWS@TEX 07:05PM ET,TEX,4.3
C,Austin Hedges (40148),Austin Hedges,40148,C,3200,CLE@LAA 07:05PM ET,CLE,4.8
C,Tyler Heineman (40149),Tyler Heineman,40149,C,2200,CLE@LAA 07:05PM ET,LAA,2.7
OF,Angel Martinez (40150),Angel Martinez,40150,OF,4000,CLE@LAA 07:05PM ET,CLE,7.1
C,Brian Serven (40151),Brian Serven,40151,C,3400,MIN@OAK 07:05PM ET,OAK,7.1
SS,Darell Hernaiz (40152),Darell Hernaiz,40152,SS,2800,MIN@OAK 07:05PM ET,OAK,4.3
OF,Alan Roden (40153),Alan Roden,40153,OF,2700,MIN@OAK 07:05PM ET,MIN,3.9
OF,Austin Hays (40154),Austin Hays,40154,OF,2700,PIT@SD 07:05PM ET,SD,5.3
3B,Sung-Mun Song (40155),Sung-Mun Song,40155,3B,2500,PIT@SD 07:05PM ET,SD,4.8
C,Freddy Fermin (40156),Freddy Fermin,40156,C,2200,PIT@SD 07:05PM ET,SD,4.1
OF,Samad Taylor (40157),Samad Taylor,40157,OF,3000,PIT@SD 07:05PM ET,SD,7.9
OF,Jase Bowen (40158),Jase Bowen,40158,OF,2400,PIT@SD 07:05PM ET,SD,3.3
OF,Billy Cook (40159),Billy Cook,40159,OF,2100,PIT@SD 07:05PM ET,PIT,2.6
OF,Edmundo Sosa (40160),Edmundo Sosa,40160,OF,3000,PHI@SEA 07:05PM ET,PHI,5.2
OF,Victor Robles (40161),Victor Robles,40161,OF,2200,PHI@SEA 07:05PM ET,SEA,5.1
C,Andrew Knizner (40162),Andrew Knizner,40162,C,2600,CIN@SF 07:05PM ET,SF,4.0
3B,Buddy Kennedy (40163),Buddy Kennedy,40163,3B,2100,CIN@SF 07:05PM ET,SF,2.0
C,Jesus Rodriguez (40164),Jesus Rodriguez,40164,C,3100,CIN@SF 07:05PM ET,SF,4.7
OF,Jonah Cox (40165),Jonah Cox,40165,OF,2400,CIN@SF 07:05PM ET,SF,4.2
OF,Josh Lowe (40166),Josh Lowe,40166,OF,2500,CLE@LAA 07:05PM ET,LAA,4.7
